L	T	n	mean_abs_M	naive_SE	block50_SE	ratio	tau_int
32	1.5	5000	0.9865	0.000089	0.000173	1.95	1.62
32	1.6	5000	0.9797	0.000114	0.000180	1.58	1.59
32	1.7	5000	0.9698	0.000155	0.000278	1.80	2.00
32	1.8	5000	0.9569	0.000199	0.000512	2.57	2.94
32	1.9	5000	0.9396	0.000258	0.000702	2.72	4.11
32	2	100000	0.9117	0.000084	0.000323	3.85	7.12
32	2.05	100000	0.8919	0.000111	0.000708	6.36	18.42
32	2.1	100000	0.8692	0.000137	0.000813	5.95	20.74
32	2.15	100000	0.8360	0.000189	0.001574	8.32	35.61
32	2.2	100000	0.7881	0.000275	0.003012	10.97	55.20
32	2.25	100000	0.7105	0.000441	0.006665	15.11	153.79
32	2.3	100000	0.5625	0.000645	0.010893	16.88	168.91
32	2.35	100000	0.4312	0.000687	0.011223	16.34	139.15
32	2.4	100000	0.3216	0.000616	0.007027	11.41	73.67
32	2.45	100000	0.2407	0.000516	0.005585	10.82	68.06
32	2.5	100000	0.2012	0.000442	0.003931	8.89	45.40
32	2.55	100000	0.1768	0.000403	0.003557	8.82	35.15
32	2.6	100000	0.1487	0.000346	0.002418	6.99	22.87
32	2.7	5000	0.1145	0.001207	0.005702	4.72	11.96
32	2.8	5000	0.0992	0.001011	0.003302	3.27	6.50
32	2.9	5000	0.0927	0.001001	0.003336	3.33	5.67
32	3	5000	0.0889	0.000932	0.003096	3.32	5.63
32	3.1	5000	0.0777	0.000817	0.002414	2.95	4.76
32	3.2	5000	0.0706	0.000744	0.001794	2.41	3.57
32	3.3	5000	0.0647	0.000671	0.001738	2.59	2.82
32	3.4	5000	0.0654	0.000691	0.001716	2.48	3.03
32	3.5	5000	0.0624	0.000655	0.001378	2.10	2.40
64	1.5	5000	0.9867	0.000044	0.000068	1.55	1.51
64	1.6	5000	0.9797	0.000058	0.000117	2.03	2.01
64	1.7	5000	0.9703	0.000075	0.000171	2.28	2.42
64	1.8	5000	0.9569	0.000101	0.000203	2.02	2.61
64	1.9	5000	0.9387	0.000135	0.000404	3.00	5.09
64	2	100000	0.9114	0.000043	0.000197	4.54	8.97
64	2.05	100000	0.8926	0.000054	0.000244	4.52	13.08
64	2.1	100000	0.8682	0.000070	0.000385	5.47	22.65
64	2.15	100000	0.8355	0.000098	0.000954	9.69	52.43
64	2.2	100000	0.7859	0.000152	0.002212	14.53	110.60
64	2.25	100000	0.6485	0.000523	0.016982	32.49	865.07
64	2.3	100000	0.4180	0.000656	0.020693	31.53	742.55
64	2.35	100000	0.2248	0.000477	0.010543	22.10	266.03
64	2.4	100000	0.1569	0.000366	0.006288	17.20	154.18
64	2.45	100000	0.1209	0.000278	0.003425	12.30	75.25
64	2.5	100000	0.0974	0.000230	0.002358	10.25	43.54
64	2.55	100000	0.0856	0.000202	0.001658	8.22	35.30
64	2.6	100000	0.0748	0.000180	0.001357	7.54	25.79
64	2.7	5000	0.0619	0.000646	0.002557	3.96	9.72
64	2.8	5000	0.0551	0.000563	0.002335	4.15	9.93
64	2.9	5000	0.0499	0.000523	0.002093	4.00	7.41
64	3	5000	0.0453	0.000473	0.001942	4.10	7.45
64	3.1	5000	0.0391	0.000436	0.001521	3.49	6.42
64	3.2	5000	0.0364	0.000384	0.001005	2.62	4.00
64	3.3	5000	0.0328	0.000367	0.001001	2.73	3.82
64	3.4	5000	0.0316	0.000343	0.000907	2.65	2.76
64	3.5	5000	0.0297	0.000312	0.000624	2.00	2.30
